2026-02-07 16:31:13,135 | INFO | FusionAnalysisPage | Clicking on fusion tab
2026-02-07 16:31:59,497 | INFO | FusionAnalysisPage | Clicking on fusion tab
2026-02-07 16:32:02,792 | INFO | FusionAnalysisPage | Clicked fusion tab successfully
2026-02-07 16:37:46,974 | INFO | FusionAnalysisPage | Clicking on fusion tab
2026-02-07 16:37:50,725 | INFO | FusionAnalysisPage | Clicked fusion tab successfully
2026-02-07 16:42:08,014 | INFO | FusionAnalysisPage | Clicking on fusion tab
2026-02-07 16:42:11,706 | INFO | FusionAnalysisPage | Clicked fusion tab successfully
2026-02-07 16:47:43,998 | INFO | FusionAnalysisPage | Clicking on fusion tab
2026-02-07 16:47:47,059 | INFO | FusionAnalysisPage | Clicked fusion tab successfully
2026-02-07 16:53:58,053 | INFO | FusionAnalysisPage | Clicking on fusion tab
2026-02-07 16:54:00,940 | INFO | FusionAnalysisPage | Clicked fusion tab successfully
2026-02-07 16:54:57,852 | INFO | FusionAnalysisPage | Clicking on fusion tab
2026-02-07 16:55:00,691 | INFO | FusionAnalysisPage | Clicked fusion tab successfully
2026-02-07 16:59:17,589 | INFO | FusionAnalysisPage | Clicking on fusion tab
2026-02-07 16:59:20,463 | INFO | FusionAnalysisPage | Clicked fusion tab successfully
2026-02-07 17:18:57,592 | INFO | FusionAnalysisPage | Clicking on fusion tab
2026-02-07 17:19:00,466 | INFO | FusionAnalysisPage | Clicked fusion tab successfully
2026-02-07 17:19:44,598 | INFO | FusionAnalysisPage | Clicking on fusion tab
2026-02-07 17:19:47,489 | INFO | FusionAnalysisPage | Clicked fusion tab successfully
2026-02-07 17:20:45,164 | INFO | FusionAnalysisPage | Clicking on fusion tab
2026-02-07 17:20:48,042 | INFO | FusionAnalysisPage | Clicked fusion tab successfully
2026-02-07 17:26:03,401 | INFO | FusionAnalysisPage | Clicking on fusion tab
2026-02-07 17:26:34,042 | INFO | FusionAnalysisPage | Clicking on fusion tab
2026-02-07 17:26:36,856 | INFO | FusionAnalysisPage | Clicked fusion tab successfully
2026-02-07 17:30:03,728 | INFO | FusionAnalysisPage | Clicking on fusion tab
2026-02-07 17:30:06,840 | INFO | FusionAnalysisPage | Clicked fusion tab successfully
2026-02-07 17:31:14,881 | INFO | FusionAnalysisPage | Clicking on fusion tab
2026-02-07 17:31:18,013 | INFO | FusionAnalysisPage | Clicked fusion tab successfully
2026-02-07 17:37:17,821 | INFO | FusionAnalysisPage | Clicking on fusion tab
2026-02-07 17:37:20,673 | INFO | FusionAnalysisPage | Clicked fusion tab successfully
2026-02-07 17:37:58,936 | INFO | FusionAnalysisPage | Clicking on fusion tab
2026-02-07 17:38:01,807 | INFO | FusionAnalysisPage | Clicked fusion tab successfully
2026-02-07 17:38:16,222 | INFO | FusionAnalysisPage | Clicking on fusion tab
2026-02-07 17:38:19,247 | INFO | FusionAnalysisPage | Clicked fusion tab successfully
2026-02-07 17:38:56,317 | INFO | FusionAnalysisPage | Clicking on fusion tab
2026-02-07 17:38:59,262 | INFO | FusionAnalysisPage | Clicked fusion tab successfully
2026-02-07 17:55:34,071 | INFO | FusionAnalysisPage | Clicking on fusion tab
2026-02-07 17:55:37,402 | INFO | FusionAnalysisPage | Clicked fusion tab successfully
2026-02-07 17:58:41,352 | INFO | FusionAnalysisPage | Clicking on fusion tab
2026-02-07 17:58:45,028 | INFO | FusionAnalysisPage | Clicked fusion tab successfully
